Month,Exports,Imports,Balance
1985-01-01,319.2,293.1,26.1
1985-02-01,222.7,281,-58.3
1985-03-01,239.5,293,-53.5
1985-04-01,265.6,283.3,-17.7
1985-05-01,329.3,295.1,34.2
1985-06-01,280.9,348.7,-67.8
1985-07-01,383.1,344.4,38.7
1985-08-01,320.9,311.8,9.1
1985-09-01,339.1,391.8,-52.7
1985-10-01,377.1,385.5,-8.4
1985-11-01,316.3,327.5,-11.2
1985-12-01,462,306.5,155.5
1986-01-01,300,459.5,-159.5
1986-02-01,330.6,376.6,-46
1986-03-01,289.6,401.8,-112.2
1986-04-01,318.9,264.9,54
1986-05-01,256.8,319,-62.2
1986-06-01,275.3,375.7,-100.4
1986-07-01,198.6,450.2,-251.6
1986-08-01,235.6,434.7,-199.1
1986-09-01,216.4,413.4,-197
1986-10-01,198.8,398.5,-199.7
1986-11-01,226.7,486,-259.3
1986-12-01,259,390.7,-131.7
1987-01-01,213.3,520.6,-307.3
1987-02-01,212.7,565.3,-352.6
1987-03-01,207.6,482.5,-274.9
1987-04-01,439.6,468.3,-28.7
1987-05-01,228.7,514.7,-286
1987-06-01,261.8,536.3,-274.5
1987-07-01,227.4,560,-332.6
1987-08-01,278.2,598.1,-319.9
1987-09-01,304.1,549.6,-245.5
1987-10-01,376.9,567.9,-191
1987-11-01,350.5,489.8,-139.3
1987-12-01,396.5,440.5,-44
1988-01-01,289.5,652.8,-363.3
1988-02-01,360.3,650.6,-290.3
1988-03-01,407.8,509.9,-102.1
1988-04-01,446.5,551.9,-105.4
1988-05-01,313.8,615.1,-301.3
1988-06-01,503.2,720.8,-217.6
1988-07-01,483.6,761.6,-278
1988-08-01,424.4,803.9,-379.5
1988-09-01,396.4,793.3,-396.9
1988-10-01,412.9,834,-421.1
1988-11-01,449.3,798.8,-349.5
1988-12-01,533.9,818.2,-284.3
1989-01-01,439,788.9,-349.9
1989-02-01,464.7,798.1,-333.4
1989-03-01,565.4,667.3,-101.9
1989-04-01,415.3,728.5,-313.2
1989-05-01,482.4,937.9,-455.5
1989-06-01,362.7,1021.7,-659
1989-07-01,637.7,1162.7,-525
1989-08-01,688.5,1279.6,-591.1
1989-09-01,427.9,1179.3,-751.4
1989-10-01,542.4,1340.4,-798
1989-11-01,305,1133.8,-828.8
1989-12-01,424.4,951.5,-527.1
1990-01-01,361.2,1186.1,-824.9
1990-02-01,519.6,993.8,-474.2
1990-03-01,376.1,931,-554.9
1990-04-01,343.6,996.4,-652.8
1990-05-01,379.9,1173.5,-793.6
1990-06-01,504.5,1317.2,-812.7
1990-07-01,394.4,1492.5,-1098.1
1990-08-01,408.4,1568.6,-1160.2
1990-09-01,358.6,1432.1,-1073.5
1990-10-01,459,1652.1,-1193.1
1990-11-01,327.9,1367.9,-1040
1990-12-01,373.2,1126.2,-753
1991-01-01,406,1321.6,-915.6
1991-02-01,487.6,1253.7,-766.1
1991-03-01,472.3,974.3,-502
1991-04-01,440.3,1104.2,-663.9
1991-05-01,625.3,1380.8,-755.5
1991-06-01,530.2,1525.5,-995.3
1991-07-01,522.8,1813.2,-1290.4
1991-08-01,565.2,1872.4,-1307.2
1991-09-01,501.9,1936.3,-1434.4
1991-10-01,552.3,2236.4,-1684.1
1991-11-01,595.3,1957.6,-1362.3
1991-12-01,579,1593.2,-1014.2
1992-01-01,502.5,1912.6,-1410.1
1992-02-01,471.1,1693.7,-1222.6
1992-03-01,646.3,1441.8,-795.5
1992-04-01,580.7,1677.6,-1096.9
1992-05-01,621.7,1853.9,-1232.2
1992-06-01,689.2,2179.2,-1490
1992-07-01,438.8,2503.8,-2065
1992-08-01,730.4,2613,-1882.6
1992-09-01,489.3,2760.5,-2271.2
1992-10-01,746.3,2748.4,-2002.1
1992-11-01,620.5,2316,-1695.5
1992-12-01,881.7,2027,-1145.3
1993-01-01,620.7,2187.6,-1566.9
1993-02-01,683.8,1862.4,-1178.6
1993-03-01,621.6,2083.2,-1461.6
1993-04-01,728.4,2226.3,-1497.9
1993-05-01,586.2,2376.3,-1790.1
1993-06-01,754.8,2754.2,-1999.4
1993-07-01,711.6,2981.1,-2269.5
1993-08-01,766.5,3223.3,-2456.8
1993-09-01,836.2,3338.7,-2502.5
1993-10-01,623.8,3277.6,-2653.8
1993-11-01,781.8,2899.6,-2117.8
1993-12-01,1047.5,2329.6,-1282.1
1994-01-01,551,2763.1,-2212.1
1994-02-01,877.9,2499.2,-1621.3
1994-03-01,783.7,2183,-1399.3
1994-04-01,712.7,2491.6,-1778.9
1994-05-01,757.3,2979,-2221.7
1994-06-01,1009.4,3463.3,-2453.9
1994-07-01,970.4,3645.4,-2675
1994-08-01,926.4,4165.8,-3239.4
1994-09-01,628.5,4134.4,-3505.9
1994-10-01,618.4,4101.2,-3482.8
1994-11-01,648,3534.3,-2886.3
1994-12-01,798,2826.5,-2028.5
1995-01-01,744.9,3450.6,-2705.7
1995-02-01,1085.5,3001.5,-1916
1995-03-01,1070.1,2910.4,-1840.3
1995-04-01,896.4,3148.3,-2251.9
1995-05-01,831,3654.9,-2823.9
1995-06-01,946.7,3960.7,-3014
1995-07-01,985.7,4311.8,-3326.1
1995-08-01,881.4,4804.7,-3923.3
1995-09-01,959.6,4584.1,-3624.5
1995-10-01,1097.4,4714.3,-3616.9
1995-11-01,1124.7,3868,-2743.3
1995-12-01,1130.3,3133.9,-2003.6
1996-01-01,929.2,3657.7,-2728.5
1996-02-01,1146.9,3539.6,-2392.7
1996-03-01,1092.5,2863.7,-1771.2
1996-04-01,841.3,3247.9,-2406.6
1996-05-01,881.6,3954.3,-3072.7
1996-06-01,771.6,4111.2,-3339.6
1996-07-01,998.2,4816.7,-3818.5
1996-08-01,778.3,5495.7,-4717.4
1996-09-01,753.4,5480.7,-4727.3
1996-10-01,927.5,5812.9,-4885.4
1996-11-01,1586.4,4585.4,-2999
1996-12-01,1285.7,3947,-2661.3
1997-01-01,938.4,4667.6,-3729.2
1997-02-01,913.3,4262.4,-3349.1
1997-03-01,1021.6,3628.6,-2607
1997-04-01,964.7,4445,-3480.3
1997-05-01,1056.8,4795.1,-3738.3
1997-06-01,920.3,5213.5,-4293.2
1997-07-01,1097.1,5777.2,-4680.1
1997-08-01,938,6073.6,-5135.6
1997-09-01,1039.8,6561.4,-5521.6
1997-10-01,1438.8,6606.5,-5167.7
1997-11-01,1300.7,5425.7,-4125
1997-12-01,1232.7,5101.1,-3868.4
1998-01-01,1271.1,5453.2,-4182.1
1998-02-01,1019.3,4559.6,-3540.3
1998-03-01,1034.2,4798.1,-3763.9
1998-04-01,984.9,5262.9,-4278
1998-05-01,911.3,5539.4,-4628.1
1998-06-01,1282.7,6020.2,-4737.5
1998-07-01,1100.8,6556.2,-5455.4
1998-08-01,869.9,6779.9,-5910
1998-09-01,1214.9,7125.2,-5910.3
1998-10-01,1855.2,7377.7,-5522.5
1998-11-01,1317.2,6374.1,-5056.9
1998-12-01,1379.7,5322.1,-3942.4
1999-01-01,781.3,5654,-4872.7
1999-02-01,923.9,5563.1,-4639.2
1999-03-01,1076,5204,-4128
1999-04-01,1035,5818.9,-4783.9
1999-05-01,1113.8,6363.1,-5249.3
1999-06-01,1442,7117.4,-5675.4
1999-07-01,1074,7405.7,-6331.7
1999-08-01,1151.3,8022.1,-6870.8
1999-09-01,1325.3,8198.2,-6872.9
1999-10-01,1069.1,8207.9,-7138.8
1999-11-01,1025.5,7543.5,-6518
1999-12-01,1093.9,6690.3,-5596.4
2000-01-01,863.1,6902.1,-6039
2000-02-01,972.7,6584.4,-5611.7
2000-03-01,1330.5,6424.1,-5093.6
2000-04-01,1227.5,7070.5,-5843
2000-05-01,1526.3,7850.2,-6323.9
2000-06-01,1335.6,8541.7,-7206.1
2000-07-01,1642.8,9246.4,-7603.6
2000-08-01,1429,10054,-8625
2000-09-01,1333.3,10061.7,-8728.4
2000-10-01,1487.3,10611.6,-9124.3
2000-11-01,1450.4,9066.8,-7616.4
2000-12-01,1586.7,7604.7,-6018
2001-01-01,1187.5,8427.5,-7240
2001-02-01,1289.8,6375.6,-5085.8
2001-03-01,1855.8,7590.2,-5734.4
2001-04-01,1398.9,7686.8,-6287.9
2001-05-01,1596,7757.9,-6161.9
2001-06-01,1786.4,8398.2,-6611.8
2001-07-01,1487,8975.3,-7488.3
2001-08-01,1929.7,10042.9,-8113.2
2001-09-01,1427.8,9927.8,-8500
2001-10-01,1647.7,10808.3,-9160.6
2001-11-01,1674.5,8878.8,-7204.3
2001-12-01,1901.2,7409.1,-5507.9
2002-01-01,1569.3,8415.4,-6846.1
2002-02-01,1529.5,8020.8,-6491.3
